Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1uFWyT4KLFXisiVkiBPCTb,"L'Aziza","Sauver l'amour (Remastered)","Daniel Balavoine",1985-10-01,260587,62,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:12:54Z,"variété française,chanson,house française,pop française","Universal Music Division Barclay",0.671,0.769,0,-9.432,0,0.0298,0.186,0.000136,0.175,0.584,123.625,4
spotify:track:1TmuaS1lnCUf7yCLk2hwDT,"Vroum Vroum","Dernier souffle","Moha K",2021-06-11,186986,50,true,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:08Z,"pop marocaine,pop urbaine","Wagram Music / W Lab",0.786,0.654,11,-5.082,0,0.0379,0.471,0.00000155,0.125,0.574,116.952,4
spotify:track:0S4dVpqBLnBFj4wdB4UDMd,"Partenaire Particulier","Le son des années 80","Partenaire Particulier",2009-03-06,246440,65,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:19Z,"variété française","Chris Music",0.736,0.927,6,-3.487,0,0.0541,0.678,0.000256,0.217,0.971,156.046,4
spotify:track:4fwtP5khM1iEoa6BP1QQsX,"Chocolat (feat. Awa Imani)","Clandestino","Lartiste,Awa Imani",2016-12-09,235021,65,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:26Z,"pop urbaine,hip-hop français,pop marocaine,r&b français,raï","Purple Money / Zayn Corporation",0.729,0.679,2,-5.456,0,0.0568,0.0822,0,0.1,0.75,108.964,4
spotify:track:1Y1eE1YgbF60sHlWC89Uzd,"Catchu Catchu","Grandestino","Lartiste",2018-02-23,213576,54,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:29Z,"pop urbaine,hip-hop français,pop marocaine,r&b français","Purple Money / Zayn Corporation",0.781,0.768,8,-5.565,1,0.186,0.368,0,0.0709,0.828,115.993,4
spotify:track:1vELwZM3uBYWd8HrtddD4l,"Bella","Subliminal (La face cachée)","GIMS",2013-12-02,226480,71,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:35Z,"hip-hop français,r&b français,pop française,pop urbaine","Jive Epic",0.781,0.944,9,-2.64,0,0.0615,0.0873,0.0795,0.117,0.965,103.003,4
spotify:track:3bHwuIcUkM1mc7c1u7vgbQ,"Je ne suis pas un héros","Un autre monde (Remastered)","Daniel Balavoine",1980-11-01,313480,54,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:40Z,"variété française,chanson,house française,pop française","Universal Music Division Barclay",0.57,0.804,3,-9.988,1,0.0322,0.00993,0.00217,0.0666,0.796,128.891,4
spotify:track:66oUD4UVvC2DsPaKzw8sJy,"Dès que le vent soufflera","Morgane De Toi (Remastered)","Renaud",1984-01-01,267213,57,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:44Z,"variété française,chanson,house française,pop française","Universal Music Division Label Panthéon",0.559,0.872,2,-5.847,1,0.104,0.183,0,0.325,0.721,125.359,4
spotify:track:0xt1kT5tYW6BkwqGdOyUbA,"Il suffira d'un signe","A l'envers","Jean-Jacques Goldman",1981-04-09,349293,51,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:13:49Z,"variété française,chanson,pop française,house française","Epic",0.704,0.658,2,-8.093,0,0.0309,0.208,0.00000176,0.0559,0.658,125.479,4
spotify:track:41eW0sssMpqOmd3ZqbPeZ9,"Encore un matin","Positif","Jean-Jacques Goldman",1984-01-01,251600,55,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:14:01Z,"variété française,chanson,pop française,house française","Epic",0.625,0.88,11,-3.539,0,0.0754,0.274,0,0.112,0.23,128.148,4
spotify:track:21laPESsH4dri1JmqKUQ6X,"Ambiance à l'africaine","Touté kalé","Magic System",2011-04-01,183573,56,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:14:09Z,"afro house","Parlophone (France)",0.851,0.773,9,-5.159,0,0.263,0.192,0,0.214,0.734,131.559,4
spotify:track:3moelwvWkm8rliDyjywgA1,"Les voisines","Repenti","Renan Luce",2006-01-01,215813,53,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:07Z,"variété française,chanson,pop française,house française","Universal Music Division Barclay",0.855,0.743,1,-6.95,0,0.0407,0.139,0.00000513,0.0719,0.89,127.031,4
spotify:track:6fS7JzuxJOLdVvUKh6sZ5t,"Rayon de soleil","Singles Collection - EP","William Baldé",2010-06-07,216426,48,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:17Z,"variété française","Warner (France)",0.761,0.734,2,-6.267,1,0.0537,0.32,0.00000881,0.072,0.65,145.093,4
spotify:track:4LWVPTpGzQjKtwYmmx7Hbd,"Lady Mélody","Better Days","Tom Frager",2009-09-01,191659,61,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:21Z,"variété française","AZ",0.662,0.708,9,-5.251,1,0.0389,0.532,0,0.118,0.647,170.031,4
spotify:track:7sJBx5VyGxbLlhwloGBmyP,"Liberta","Utopies dans le décor","Pep's",2008-12-05,204946,60,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:23Z,"variété française,chanson,pop française","Echo Productions",0.694,0.419,1,-8.025,1,0.0615,0.719,0,0.108,0.595,148.252,4
spotify:track:4prNHQCgqVpmGJRulNK4zg,"Belle demoiselle","Mon paradis","Christophe Maé",2007-03-19,209000,58,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:30Z,"variété française,chanson,pop française","Warner (France)",0.821,0.612,0,-6.468,1,0.0684,0.604,0,0.122,0.798,99.967,4
spotify:track:6KroDlrt97h1Cmicotb9tF,"Les lionnes","Yannick Noah","Yannick Noah",2000-03-07,193133,48,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:34Z,"variété française,chanson,pop française","Saint George",0.637,0.593,1,-10.059,0,0.0837,0.2,0.00000229,0.311,0.698,74.992,4
spotify:track:7eJdx83TiKsVqAzLFBelMO,"Manhattan-Kaboul","Boucan d'enfer","Renaud,Axelle Red",2002-05-28,230866,64,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:15:36Z,"variété française,chanson,house française,pop française","Parlophone (France)",0.758,0.618,0,-9.419,1,0.0257,0.0298,0.00000655,0.101,0.679,105.214,4
